"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"367",2,1,"Entire home/apt",3,75,3.27,0.865753424657534
"368",2,1,"Entire home/apt",3,1,0.02,0
"369",3,1,"Entire home/apt",30,0,0,0.936986301369863
"370",2,1,"Entire home/apt",1,4,0.18,0.550684931506849
"371",2,1,"Entire home/apt",4,52,1.31,0.663013698630137
"372",3,1,"Private room",3,10,0.28,0.90958904109589
"373",3,1,"Shared room",1,0,0,0
"374",2,1,"Entire home/apt",2,156,3.74,0.610958904109589
"375",3,1,"Entire home/apt",30,0,0,0.997260273972603
"376",3,1,"Entire home/apt",1,0,0,0
"377",2,1,"Entire home/apt",5,20,1.08,0
"378",2,1,"Entire home/apt",3,161,3.94,0.687671232876712
"379",3,1,"Entire home/apt",1,1,0.02,0
"380",2,1,"Entire home/apt",90,0,0,0.243835616438356
"381",3,1,"Entire home/apt",7,5,0.14,0.334246575342466
"382",3,1,"Private room",1,2,0.05,0
"383",2,1,"Entire home/apt",1,153,4.66,0.128767123287671
"384",3,1,"Private room",1,6,0.14,0
"385",2,1,"Entire home/apt",30,9,0.22,0
"386",3,1,"Private room",1,0,0,0
"387",2,1,"Entire home/apt",2,64,1.58,0.701369863013699
"388",2,1,"Entire home/apt",30,13,0.33,0.580821917808219
"389",2,1,"Entire home/apt",3,0,0,0
"390",3,1,"Private room",21,11,0.27,0.484931506849315
"391",3,1,"Entire home/apt",5,87,2.12,0.728767123287671
"392",2,1,"Entire home/apt",1,0,0,0
"393",3,1,"Entire home/apt",30,0,0,0.482191780821918
"394",3,1,"Entire home/apt",30,0,0,0
"395",3,1,"Entire home/apt",30,0,0,0.953424657534247
"396",3,1,"Entire home/apt",30,0,0,0.997260273972603
"397",3,1,"Entire home/apt",30,2,0.06,0.515068493150685
"398",3,1,"Entire home/apt",2,4,0.1,0
"399",3,1,"Entire home/apt",30,0,0,0.997260273972603
"400",3,1,"Entire home/apt",30,0,0,0.997260273972603
"401",3,1,"Shared room",1,67,1.65,0.591780821917808
"402",2,1,"Private room",1,0,0,0
"403",3,1,"Entire home/apt",2,62,1.53,0.0520547945205479
"404",3,1,"Entire home/apt",1,141,3.54,0.717808219178082
"405",3,1,"Entire home/apt",5,20,0.5,0.0931506849315069
"406",3,1,"Private room",1,0,0,0
"407",3,1,"Private room",15,1,0.03,0
"408",2,1,"Private room",1,86,2.16,0.010958904109589
"409",2,1,"Entire home/apt",7,1,0.03,0
"410",3,1,"Entire home/apt",1,2,0.05,0
"411",2,1,"Private room",6,12,0.3,0
"412",2,1,"Entire home/apt",3,121,3.38,0.767123287671233
"413",3,1,"Entire home/apt",3,2,0.05,0
"414",3,1,"Private room",2,2,0.06,0
"415",3,1,"Entire home/apt",30,0,0,0.961643835616438
"416",3,1,"Entire home/apt",30,0,0,0.964383561643836
"417",3,1,"Entire home/apt",30,1,0.05,0.964383561643836
"418",3,1,"Entire home/apt",30,0,0,0.961643835616438
"419",3,1,"Entire home/apt",30,0,0,0.964383561643836
"420",2,1,"Private room",5,1,0.03,0
"421",3,1,"Entire home/apt",1,2,0.05,0
"422",2,1,"Entire home/apt",2,2,0.05,0
"423",3,1,"Entire home/apt",5,15,0.38,0
"424",3,1,"Entire home/apt",4,19,0.51,0.956164383561644
"425",2,1,"Private room",2,5,0.13,1
"426",3,1,"Entire home/apt",5,88,2.23,0.893150684931507
"427",3,1,"Entire home/apt",2,6,0.16,0
"428",3,1,"Entire home/apt",30,0,0,0.964383561643836
"429",3,1,"Entire home/apt",5,0,0,0
"430",3,1,"Entire home/apt",30,1,0.23,0.961643835616438
"431",3,1,"Private room",1,1,0.03,0
"432",3,1,"Entire home/apt",30,0,0,0.945205479452055
"433",3,1,"Entire home/apt",2,2,0.05,0
"434",3,1,"Private room",1,1,0.03,0
"435",2,1,"Private room",3,0,0,0
"436",3,1,"Entire home/apt",30,5,0.18,0.76986301369863
"437",3,1,"Entire home/apt",2,5,0.13,0
"438",3,1,"Entire home/apt",5,0,0,0
"439",3,1,"Entire home/apt",1,126,3.21,0.871232876712329
"440",3,1,"Entire home/apt",2,14,0.36,0
"441",3,1,"Entire home/apt",3,0,0,0
"442",3,1,"Entire home/apt",5,1,0.03,0
"443",3,1,"Entire home/apt",1,0,0,0
"444",3,1,"Entire home/apt",1,0,0,0
"445",3,1,"Private room",3,3,0.09,0
"446",3,1,"Entire home/apt",2,5,0.15,0
"447",2,1,"Entire home/apt",2,39,1.25,0
"448",3,1,"Private room",3,0,0,0
"449",3,1,"Entire home/apt",14,3,0.13,0.435616438356164
"450",3,1,"Entire home/apt",25,21,0.65,0.0273972602739726
"451",3,1,"Entire home/apt",365,27,0.78,0.0465753424657534
"452",3,1,"Entire home/apt",4,0,0,0
"453",3,1,"Entire home/apt",366,0,0,1
"454",3,1,"Entire home/apt",2,6,0.16,0
"455",2,1,"Entire home/apt",30,0,0,0.73972602739726
"456",3,1,"Entire home/apt",2,2,0.06,0
"457",2,1,"Entire home/apt",3,54,1.42,0.265753424657534
"458",3,1,"Entire home/apt",7,2,0.05,0
"459",3,1,"Entire home/apt",2,10,0.26,0.0273972602739726
"460",3,1,"Entire home/apt",30,2,0.1,1
"461",3,1,"Entire home/apt",30,0,0,0.915068493150685
"462",3,1,"Entire home/apt",30,0,0,0.93972602739726
"463",2,1,"Private room",7,2,0.05,0.128767123287671
"464",3,1,"Entire home/apt",30,1,0.03,0.898630136986301
"465",3,1,"Entire home/apt",30,0,0,0.931506849315068
"466",2,1,"Entire home/apt",3,36,1.01,0.145205479452055
"467",2,1,"Entire home/apt",2,5,0.13,0
"468",3,1,"Entire home/apt",2,32,0.85,0.120547945205479
